epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.448,1.16164,0.68153,1.09576,0.97537,0.92392,0.95568,0.64841,1.14958,0.5677,1.10069,0.00332579,0.00332579,0.00332579
2,204.537,1.15567,0.6444,1.0987,0.95129,0.89021,0.93278,0.58632,1.23347,0.68321,1.16787,0.0065932,0.0065932,0.0065932
3,296.687,1.19323,0.69519,1.12599,0.96034,0.84948,0.91725,0.60194,1.22527,0.70811,1.1608,0.00979461,0.00979461,0.00979461
4,388.478,1.22657,0.73551,1.15511,0.94664,0.87563,0.92495,0.603,1.22393,0.72317,1.19184,0.009703,0.009703,0.009703
5,478.218,1.20245,0.68618,1.1429,0.95939,0.91071,0.94785,0.62843,1.19115,0.62911,1.14619,0.009604,0.009604,0.009604
6,569.389,1.19891,0.67349,1.14171,0.96366,0.91071,0.94351,0.6272,1.18804,0.60582,1.14258,0.009505,0.009505,0.009505
7,660.822,1.19643,0.65618,1.14457,0.95968,0.90387,0.9443,0.63728,1.15603,0.6056,1.12678,0.009406,0.009406,0.009406
8,753.449,1.17191,0.63917,1.13245,0.97863,0.90205,0.9533,0.64041,1.17671,0.58857,1.15451,0.009307,0.009307,0.009307
9,843.779,1.17079,0.63016,1.12326,0.97026,0.90387,0.94973,0.64274,1.17455,0.57906,1.1404,0.009208,0.009208,0.009208
10,933.945,1.15471,0.61415,1.11463,0.97669,0.91644,0.95567,0.65903,1.15595,0.53566,1.10586,0.009109,0.009109,0.009109
11,1024.65,1.15022,0.6084,1.10863,0.97096,0.92255,0.9567,0.65454,1.14585,0.54217,1.1124,0.00901,0.00901,0.00901
12,1119.73,1.14961,0.59717,1.10962,0.98243,0.91691,0.95932,0.66881,1.13401,0.52316,1.11623,0.008911,0.008911,0.008911
13,1212.39,1.13037,0.58358,1.10737,0.96741,0.91963,0.95794,0.65581,1.14362,0.53812,1.11233,0.008812,0.008812,0.008812
14,1303.04,1.13135,0.5789,1.10453,0.98287,0.91506,0.9573,0.66255,1.12986,0.52778,1.10822,0.008713,0.008713,0.008713
15,1394.56,1.12928,0.57338,1.10036,0.96858,0.92847,0.95691,0.66495,1.1281,0.50792,1.1061,0.008614,0.008614,0.008614
16,1486.03,1.11962,0.56859,1.0948,0.97708,0.9344,0.96094,0.67334,1.11547,0.50221,1.08686,0.008515,0.008515,0.008515
17,1579.74,1.11603,0.55549,1.08648,0.98064,0.93166,0.9636,0.67123,1.12206,0.48965,1.09773,0.008416,0.008416,0.008416
18,1675.89,1.12286,0.55661,1.08963,0.9846,0.92847,0.96473,0.67661,1.10882,0.50358,1.08561,0.008317,0.008317,0.008317
19,1817.33,1.09984,0.54283,1.07719,0.97343,0.93467,0.96201,0.67239,1.11341,0.49824,1.08752,0.008218,0.008218,0.008218
20,1890.83,1.10769,0.5501,1.08386,0.98064,0.92938,0.96306,0.67643,1.11575,0.4831,1.08945,0.008119,0.008119,0.008119
21,1990.21,1.1132,0.54788,1.08639,0.97702,0.93667,0.96541,0.67119,1.10002,0.482,1.07848,0.00802,0.00802,0.00802
22,2088.97,1.11182,0.54386,1.09172,0.97988,0.93209,0.96449,0.67435,1.10265,0.48697,1.08512,0.007921,0.007921,0.007921
23,2183.97,1.09538,0.53376,1.07713,0.97476,0.93121,0.96017,0.67317,1.11216,0.49083,1.0813,0.007822,0.007822,0.007822
24,2282.51,1.09108,0.52692,1.07392,0.98323,0.93515,0.96531,0.68285,1.10201,0.48292,1.08026,0.007723,0.007723,0.007723
25,2381.47,1.08416,0.52168,1.07124,0.98687,0.9344,0.96853,0.68679,1.10754,0.45625,1.07215,0.007624,0.007624,0.007624
26,2477.32,1.07575,0.52144,1.06838,0.98506,0.93075,0.96786,0.67921,1.09928,0.45726,1.08028,0.007525,0.007525,0.007525
27,2572.89,1.08308,0.51958,1.07937,0.9857,0.93212,0.97006,0.68528,1.08232,0.45867,1.06739,0.007426,0.007426,0.007426
28,2669.26,1.07591,0.51763,1.06692,0.98664,0.92756,0.96747,0.68705,1.0969,0.44615,1.07525,0.007327,0.007327,0.007327
29,2764.28,1.06961,0.51097,1.06517,0.98942,0.93727,0.96619,0.69224,1.08495,0.45442,1.07371,0.007228,0.007228,0.007228
30,2858.68,1.06505,0.50504,1.06369,0.97423,0.94533,0.9707,0.69034,1.07771,0.44535,1.07298,0.007129,0.007129,0.007129
31,2957.98,1.06287,0.49863,1.06655,0.98325,0.93621,0.96992,0.68459,1.09106,0.44154,1.07494,0.00703,0.00703,0.00703
32,3059.99,1.05764,0.49551,1.05505,0.98267,0.93804,0.97063,0.69763,1.0738,0.43685,1.06325,0.006931,0.006931,0.006931
33,3154.1,1.05882,0.49543,1.06172,0.9798,0.9385,0.96923,0.69207,1.08202,0.44584,1.07027,0.006832,0.006832,0.006832
34,3247.99,1.06718,0.50068,1.06017,0.97556,0.94578,0.97023,0.69357,1.07443,0.43804,1.06377,0.006733,0.006733,0.006733
35,3344.41,1.06634,0.49922,1.05446,0.97908,0.93806,0.96989,0.69228,1.07375,0.43306,1.05605,0.006634,0.006634,0.006634
36,3445.68,1.05378,0.48803,1.05081,0.9898,0.92796,0.96934,0.69443,1.07168,0.4336,1.05779,0.006535,0.006535,0.006535
37,3545.74,1.05458,0.48771,1.05453,0.98157,0.94214,0.96843,0.69603,1.06899,0.43447,1.05553,0.006436,0.006436,0.006436
38,3644.82,1.05296,0.48496,1.05556,0.98247,0.94077,0.96924,0.69669,1.07993,0.42432,1.05271,0.006337,0.006337,0.006337
39,3744.21,1.04283,0.48199,1.0457,0.98194,0.93895,0.96956,0.69611,1.08456,0.43071,1.06988,0.006238,0.006238,0.006238
40,3844.37,1.03559,0.47703,1.04412,0.98758,0.94396,0.97411,0.69914,1.07294,0.42135,1.06548,0.006139,0.006139,0.006139
41,3944.55,1.04491,0.48044,1.04921,0.98252,0.94764,0.97438,0.70019,1.06454,0.41384,1.05365,0.00604,0.00604,0.00604
42,4037.87,1.02912,0.47252,1.04186,0.98298,0.94739,0.97553,0.70098,1.06204,0.41134,1.05869,0.005941,0.005941,0.005941
43,4133.56,1.03788,0.46884,1.04461,0.9802,0.94736,0.97354,0.7016,1.06581,0.41328,1.05579,0.005842,0.005842,0.005842
44,4231.81,1.03264,0.47206,1.04763,0.9816,0.94794,0.97217,0.7041,1.05686,0.41759,1.06071,0.005743,0.005743,0.005743
45,4329.53,1.02377,0.46542,1.04181,0.98354,0.94761,0.97506,0.70489,1.06327,0.40694,1.05237,0.005644,0.005644,0.005644
46,4426.29,1.02194,0.468,1.04324,0.98117,0.95034,0.97345,0.70287,1.06451,0.40653,1.0524,0.005545,0.005545,0.005545
47,4522.07,1.0291,0.46409,1.04441,0.98148,0.95353,0.97404,0.70187,1.06557,0.40913,1.05654,0.005446,0.005446,0.005446
48,4617.35,1.0169,0.45774,1.03815,0.98358,0.94579,0.97327,0.7054,1.05954,0.40478,1.04798,0.005347,0.005347,0.005347
49,4712.75,1.02281,0.46144,1.04003,0.98826,0.93713,0.97491,0.70552,1.06793,0.40715,1.04869,0.005248,0.005248,0.005248
50,4808.21,1.01504,0.45243,1.03788,0.98298,0.94487,0.97345,0.70603,1.06179,0.40649,1.04995,0.005149,0.005149,0.005149
51,4903.58,1.01422,0.45662,1.04059,0.98663,0.94579,0.97605,0.71317,1.04655,0.39203,1.04328,0.00505,0.00505,0.00505
52,5000.38,1.01485,0.45268,1.03541,0.98432,0.94579,0.9748,0.71144,1.05199,0.39474,1.04602,0.004951,0.004951,0.004951
53,5097.9,1.00691,0.44296,1.03648,0.98336,0.94231,0.9736,0.7072,1.05504,0.3941,1.04651,0.004852,0.004852,0.004852
54,5194.47,0.99903,0.44446,1.02685,0.98627,0.94877,0.97778,0.70977,1.05477,0.39094,1.04136,0.004753,0.004753,0.004753
55,5290.51,1.01237,0.44715,1.03384,0.98158,0.94684,0.97572,0.7084,1.05109,0.3919,1.04698,0.004654,0.004654,0.004654
56,5387.79,1.00344,0.44052,1.03287,0.98345,0.94733,0.9772,0.71218,1.04419,0.38192,1.04031,0.004555,0.004555,0.004555
57,5485.29,0.99335,0.43969,1.02483,0.98404,0.94989,0.97785,0.70997,1.04961,0.38544,1.04281,0.004456,0.004456,0.004456
58,5582.07,0.99186,0.4349,1.0241,0.98573,0.94715,0.97714,0.71721,1.04568,0.37973,1.03533,0.004357,0.004357,0.004357
59,5677.5,0.987,0.43554,1.01929,0.98126,0.9543,0.97923,0.71545,1.0496,0.381,1.04181,0.004258,0.004258,0.004258
60,5776.09,0.98746,0.43665,1.02542,0.98906,0.94699,0.97796,0.71589,1.05235,0.38356,1.04136,0.004159,0.004159,0.004159
61,5871.35,0.98305,0.42881,1.02171,0.98396,0.94995,0.97711,0.71513,1.0494,0.38028,1.0418,0.00406,0.00406,0.00406
62,5967.24,0.98167,0.42915,1.02181,0.98537,0.95153,0.97694,0.71383,1.04661,0.37736,1.0438,0.003961,0.003961,0.003961
63,6063.49,0.97894,0.42697,1.02105,0.97801,0.95239,0.9765,0.71081,1.04421,0.38195,1.03855,0.003862,0.003862,0.003862
64,6161.07,0.9747,0.42191,1.02088,0.98136,0.94715,0.97595,0.71497,1.0466,0.38281,1.04169,0.003763,0.003763,0.003763
65,6259.66,0.96593,0.4214,1.01603,0.9757,0.95123,0.97611,0.71311,1.04677,0.3756,1.03851,0.003664,0.003664,0.003664
66,6355.61,0.96983,0.423,1.01522,0.98199,0.9467,0.97658,0.7167,1.04329,0.37796,1.03864,0.003565,0.003565,0.003565
67,6450.15,0.9707,0.42109,1.02182,0.98531,0.94712,0.97764,0.71445,1.04579,0.37672,1.04391,0.003466,0.003466,0.003466
68,6548.46,0.96428,0.41606,1.01153,0.98187,0.95125,0.9772,0.71264,1.04779,0.37437,1.04046,0.003367,0.003367,0.003367
69,6648.21,0.95907,0.41706,1.0117,0.98302,0.9495,0.97742,0.71579,1.0444,0.37527,1.03704,0.003268,0.003268,0.003268
70,6749.24,0.94775,0.40772,1.00751,0.98032,0.95294,0.9763,0.71428,1.05243,0.37481,1.03893,0.003169,0.003169,0.003169
71,6848.52,0.95912,0.41361,1.01025,0.98164,0.95007,0.97589,0.71512,1.04611,0.37258,1.03632,0.00307,0.00307,0.00307
72,6947.39,0.94615,0.40794,1.00447,0.98532,0.94802,0.97562,0.71319,1.04547,0.37208,1.03614,0.002971,0.002971,0.002971
73,7046.42,0.94829,0.40871,1.0061,0.98341,0.94539,0.97617,0.7148,1.04267,0.37134,1.03746,0.002872,0.002872,0.002872
74,7147.34,0.95086,0.40447,1.00597,0.98861,0.94906,0.97694,0.71605,1.04186,0.36965,1.03526,0.002773,0.002773,0.002773
75,7246.61,0.94921,0.40445,1.0036,0.98073,0.95074,0.97753,0.71552,1.04544,0.36991,1.0351,0.002674,0.002674,0.002674
76,7346.65,0.94277,0.40118,1.00769,0.97906,0.95444,0.97778,0.71664,1.04192,0.36628,1.03337,0.002575,0.002575,0.002575
77,7445.86,0.93367,0.39711,1.00337,0.98402,0.95363,0.97721,0.71646,1.0392,0.36453,1.03505,0.002476,0.002476,0.002476
78,7544.75,0.93326,0.39854,1.0025,0.984,0.95269,0.97762,0.7165,1.04396,0.36529,1.03802,0.002377,0.002377,0.002377
79,7644.68,0.92313,0.39033,0.99844,0.98493,0.95171,0.97807,0.71502,1.0444,0.36357,1.03977,0.002278,0.002278,0.002278
80,7743.32,0.92447,0.39083,0.99768,0.98188,0.95308,0.97731,0.71677,1.04364,0.36475,1.03958,0.002179,0.002179,0.002179
81,7842.19,0.93084,0.39047,0.99716,0.97958,0.95399,0.97633,0.71669,1.04361,0.36381,1.03788,0.00208,0.00208,0.00208
82,7941.48,0.92281,0.38842,0.99948,0.98214,0.95125,0.97626,0.71327,1.04751,0.36549,1.04018,0.001981,0.001981,0.001981
83,8041.26,0.91316,0.38415,0.99329,0.98171,0.95384,0.97645,0.71332,1.05079,0.3659,1.03962,0.001882,0.001882,0.001882
84,8140.93,0.91281,0.38551,0.99163,0.98441,0.94937,0.9744,0.71291,1.04966,0.36497,1.03947,0.001783,0.001783,0.001783
85,8239.78,0.90842,0.37924,0.99385,0.98444,0.94989,0.97609,0.71409,1.05157,0.36266,1.0398,0.001684,0.001684,0.001684
86,8338.92,0.91044,0.37885,0.99446,0.98535,0.94973,0.97634,0.71435,1.05416,0.36285,1.04099,0.001585,0.001585,0.001585
87,8437.29,0.91221,0.37956,0.99148,0.98446,0.95243,0.97699,0.71425,1.05325,0.36272,1.04106,0.001486,0.001486,0.001486
88,8536.56,0.89951,0.37335,0.98834,0.98187,0.95353,0.9764,0.71444,1.05411,0.36215,1.04078,0.001387,0.001387,0.001387
89,8635.6,0.9007,0.37045,0.98995,0.98355,0.95358,0.97686,0.71535,1.05345,0.36001,1.04014,0.001288,0.001288,0.001288
90,8734.59,0.90385,0.37286,0.98911,0.98549,0.95171,0.97708,0.7148,1.05386,0.3613,1.04027,0.001189,0.001189,0.001189
